id,label,timeset,creditos,tronco,estado
1113057,Contaminacion Ambiental,,9,INT,0
1113071,Quimica Fisica Aplicada,,9,INT,0
1122012,Procesamiento digital de senales,,9,B PROF,0
1123016,Instrumentacion y Equipo I *,,9,INT,0
1123021,Microcontroladores *,,9,INT,0
1123034,Laboratorio de Electronica de Potencia,,3,INT,0
1123040,Circuitos Electronicos I *,,9,INT,0
1123041,Circuitos Electronicos II,,9,INT,0
1123043,Diseno de Sistemas Electronicos,,9,INT,0
1123044,Electronica de Potencia,,9,INT,0
1123045,Laboratorio de Circuitos Electronicos I *,,3,INT,0
1123046,Laboratorio de Circuitos Electronicos II,,3,INT,0
1123055,Introduccion a la Electronica  *,,9,INT,0
1123056,Laboratorio de Introduccion a la Electronica *,,3,INT,0
1124003,Circuitos Electricos II ,,9,INT,0
1124049,Laboratorio de Control,,3,INT,0
1124050,Teoria de Control,,9,INT,0
1131068,Temas Selectos de Ingenieria Electrica I,,9,INT,0
1131070,Circuitos Electricos de Corriente Alterna ,,9,INT,0
1131071,Laboratorio de Circuitos Electricos de Corriente Alterna,,3,INT,0
1132026,Transferencia de Calor  *,,9,INT,0
1132029,Dispositivos Hidroneumaticos,,6,INT,0
1132030,Taller de Dispositivos Hidroneumaticos,,3,INT,0
1132040,Transferencia de Masa,,9,INT,0
1132041,Taller de Instalaciones Industriales ,,3,INT,0
1132042,Cambiadores de Calor *,,9,INT,0
1132048,Turbomaquinaria ,,9,INT,0
1132049,Combustion  *,,9,INT,0
1132050,"Calefaccion, Ventilacion y Aire Acondicionado",,6,INT,0
1132064,Laboratorio de termofluidos i,,3,B PROF,0
1132065,Laboratorio de Termofluidos II *,,3,INT,0
1132067,Recursos Energeticos,,6,INT,0
1132068,Analisis de Problemas en Termofluidos *,,9,INT,0
1132091,Diseno de Sistemas Energeticos *,,9,INT,0
1132092,Energia Solar Aplicada *,,9,INT,0
1132093,Laboratorio de Energia Solar *,,3,INT,0
1132094,Energia Eolica Aplicada  *,,9,INT,0
1132099,Taller de fuentes Alternas de Energia,,6,INT,0
1133003,Laboratorio de Dinamica y Vibraciones,,3,INT,0
1133009,Laboratorio de Mecanismos,,3,INT,0
1133014,Procesos de Manufactura I *,,9,INT,0
1133015,Taller de Procesos de Manufactura I *,,3,INT,0
1133016,Diseno de Elementos de Maquinas,,9,INT,0
1133024,Dinamica de Maquinas,,9,INT,0
1133032,Diseno de Mecanismos,,9,INT,0
1133048,Mediciones en ingenieria,,6,B PROF,0
1133049,Metrologia para Manufactura,,6,INT,0
1133055,Laboratorio de Metrologia para Manufactura,,3,INT,0
1133060,Mecanismos,,9,INT,0
1134002,Hidraulica de Tuberias ,,9,INT,0
1134003,Hidraulica de Canales ,,9,INT,0
1134004,Laboratorio de Hidraulica de Tuberias,,3,INT,0
1135051,Laboratorio de Combustion,,3,INT,0
1137015,Instalaciones Industriales,,9,INT,0
1141006,Laboratorio de Ciencia de los Materiales *,,3,INT,0
1142025,Laboratorio de Mecanica de Solidos,,3,INT,0
1145001,Metalografia ,,6,INT,0
1145052,Cristales y Dislocaciones *,,6,INT,0
1145056,Comportamiento Mecanico de los Materiales *,,9,INT,0
1145057,Laboratorio de Comportamiento Mecanico de los Materiales *,,3,INT,0
1145058,Transformaciones de Fase en los Materiales Metalicos *,,9,INT,0
1145060,Plasticidad de los Materiales Metalicos,,9,INT,0
1145061,Laboratorio de Plasticidad de los Materiales Metalicos ,,3,INT,0
1145066,Metalurgia Mecanica ,,9,INT,0
1145071,"Oxidacion, Corrosion y Proteccion de los Materiales Metalicos *",,6,INT,0
1145072,"Laboratorio de Oxidacion, Corrosion y Proteccion de los Materiales Metalicos  *",,3,INT,0
1145091,Dislocaciones en los Materiales Metalicos,,9,INT,0
1146038,Ciencia de los Materiales *,,9,INT,0
